Customer ID,Age,Gender,Location,Category,Frequency of Purchases,Subscription Status,Payment Method,Purchase Amount (USD),Previous Purchases,Review Rating,Promo Code Used,Discount Applied,Season,Age Group,Segment,Value Score
89,33,Male,Wyoming,Clothing,Monthly,Yes,Credit Card,47,35,3.5,Yes,Yes,Fall,26-35,Loyal — Deal User,45.253826530612244
90,47,Male,California,Outerwear,Quarterly,Yes,Cash,83,15,3.6,Yes,Yes,Fall,46-55,Loyal — Deal User,39.85892857142857
91,25,Male,South Carolina,Accessories,Monthly,Yes,Credit Card,48,29,2.9,Yes,Yes,Summer,18-25,Loyal — Deal User,38.292857142857144
92,44,Male,South Carolina,Accessories,Quarterly,Yes,Credit Card,99,18,4.6,Yes,Yes,Winter,36-45,Loyal — Deal User,52.69566326530612
93,61,Male,Texas,Outerwear,Quarterly,Yes,Venmo,87,13,4.4,Yes,Yes,Winter,55+,Discount Hunter,44.684438775510216
94,37,Male,Florida,Clothing,Weekly,Yes,Credit Card,62,46,4.5,Yes,Yes,Fall,36-45,Loyal — Deal User,72.67602040816325
95,58,Male,Nevada,Clothing,Weekly,Yes,Credit Card,76,28,4.6,Yes,Yes,Spring,55+,Loyal — Deal User,66.63061224489796
96,37,Male,Missouri,Footwear,Monthly,Yes,PayPal,100,48,3.8,Yes,Yes,Fall,36-45,Loyal — Deal User,71.57551020408162
97,32,Male,Delaware,Accessories,Quarterly,Yes,Venmo,73,43,,Yes,Yes,Spring,26-35,Loyal — Deal User,55.07678571428572
98,21,Male,Virginia,Footwear,Annually,Yes,Cash,92,37,4.8,Yes,Yes,Winter,18-25,Loyal — Deal User,58.340816326530614
99,20,Male,New York,Clothing,Annually,Yes,Bank Transfer,67,20,2.6,Yes,Yes,Spring,18-25,Loyal — Deal User,26.92015306122449
100,26,Male,Missouri,Clothing,Quarterly,Yes,Debit Card,40,33,3.7,Yes,Yes,Summer,26-35,Loyal — Deal User,38.041836734693874
101,62,Male,South Dakota,Accessories,Bi-Weekly,Yes,Cash,98,31,2.7,Yes,Yes,Fall,55+,Loyal — Deal User,58.942346938775515
102,27,Male,North Dakota,Outerwear,Bi-Weekly,Yes,Credit Card,85,50,4.6,Yes,Yes,Spring,26-35,Loyal — Deal User,77.9125
103,51,Male,Oklahoma,Clothing,Quarterly,Yes,Credit Card,67,35,4.8,Yes,Yes,Winter,46-55,Loyal — Deal User,54.30382653061224
104,54,Male,West Virginia,Footwear,Bi-Weekly,Yes,Venmo,89,22,4.0,Yes,Yes,Winter,46-55,Loyal — Deal User,58.41964285714286
105,55,Male,New Hampshire,Accessories,Monthly,Yes,PayPal,24,1,4.4,Yes,Yes,Spring,46-55,Discount Hunter,22.650000000000006
106,69,Male,New York,Accessories,Annually,Yes,Bank Transfer,96,4,3.6,Yes,Yes,Fall,55+,Discount Hunter,32.18673469387756
107,64,Male,Minnesota,Outerwear,Monthly,Yes,Credit Card,35,31,3.7,Yes,Yes,Summer,55+,Loyal — Deal User,40.254846938775515
108,28,Male,Maryland,Footwear,Bi-Weekly,Yes,PayPal,67,46,3.1,Yes,Yes,Winter,26-35,Loyal — Deal User,60.83852040816326
109,70,Male,Montana,Clothing,Bi-Weekly,Yes,Bank Transfer,79,32,3.4,Yes,Yes,Spring,55+,Loyal — Deal User,57.81709183673469
110,58,Male,Alabama,Clothing,Bi-Weekly,Yes,Bank Transfer,85,43,2.6,Yes,Yes,Spring,55+,Loyal — Deal User,61.62678571428572
111,56,Male,New York,Accessories,Bi-Weekly,Yes,Venmo,26,26,4.0,Yes,Yes,Summer,55+,Loyal — Deal User,41.18112244897959
112,26,Male,Massachusetts,Accessories,Annually,Yes,Credit Card,75,9,5.0,Yes,Yes,Summer,26-35,Discount Hunter,37.085459183673464
113,37,Male,Florida,Accessories,Bi-Weekly,Yes,PayPal,65,28,4.3,Yes,Yes,Spring,36-45,Loyal — Deal User,56.393112244897964
114,44,Male,New Jersey,Accessories,Quarterly,Yes,PayPal,54,20,3.1,Yes,Yes,Winter,36-45,Loyal — Deal User,30.85765306122449
115,70,Male,Massachusetts,Outerwear,Weekly,Yes,Cash,95,9,3.7,Yes,Yes,Summer,55+,Discount Hunter,55.53545918367347
116,53,Male,Wyoming,Clothing,Quarterly,Yes,Debit Card,94,48,3.8,Yes,Yes,Spring,46-55,Loyal — Deal User,64.70051020408162
117,55,Male,Virginia,Footwear,Annually,Yes,Venmo,86,12,3.4,Yes,Yes,Spring,46-55,Discount Hunter,32.75969387755102
118,50,Male,South Dakota,Footwear,Bi-Weekly,Yes,Cash,32,29,4.6,Yes,Yes,Summer,46-55,Loyal — Deal User,48.49285714285713
119,50,Male,Kentucky,Clothing,Bi-Weekly,Yes,Cash,45,27,4.8,Yes,Yes,Fall,46-55,Loyal — Deal User,52.53086734693877
120,38,Male,Wyoming,Outerwear,Annually,Yes,Cash,76,44,4.3,Yes,Yes,Fall,36-45,Loyal — Deal User,54.62653061224489
121,64,Male,West Virginia,Accessories,Annually,Yes,Bank Transfer,84,32,4.0,Yes,Yes,Summer,55+,Loyal — Deal User,47.97959183673469
122,19,Male,Virginia,Clothing,Bi-Weekly,Yes,Cash,72,11,4.2,Yes,Yes,Winter,18-25,Discount Hunter,47.57244897959184
123,40,Male,Washington,Accessories,Bi-Weekly,Yes,Cash,40,44,4.8,Yes,Yes,Spring,36-45,Loyal — Deal User,61.37653061224489
124,57,Male,Louisiana,Clothing,Weekly,Yes,Cash,89,46,3.1,Yes,Yes,Fall,55+,Loyal — Deal User,72.71352040816326
125,44,Male,Nevada,Clothing,Annually,Yes,PayPal,86,50,3.1,Yes,Yes,Spring,36-45,Loyal — Deal User,54.224999999999994
126,49,Male,California,Clothing,Quarterly,Yes,Venmo,54,45,3.6,Yes,Yes,Winter,46-55,Loyal — Deal User,49.16377551020408
127,43,Male,Mississippi,Clothing,Quarterly,Yes,Cash,36,48,3.9,Yes,Yes,Spring,36-45,Loyal — Deal User,47.175510204081625
128,24,Male,Mississippi,Clothing,Weekly,Yes,Credit Card,89,26,4.8,Yes,Yes,Winter,18-25,Loyal — Deal User,70.66862244897959
129,20,Male,California,Accessories,Bi-Weekly,Yes,Credit Card,32,21,4.7,Yes,Yes,Spring,18-25,Loyal — Deal User,44.19489795918368
130,24,Male,Pennsylvania,Clothing,Bi-Weekly,Yes,PayPal,67,49,4.2,Yes,Yes,Summer,18-25,Loyal — Deal User,69.27525510204082
131,44,Male,Kentucky,Accessories,Bi-Weekly,Yes,PayPal,39,13,3.7,Yes,Yes,Fall,36-45,Discount Hunter,35.484438775510206
132,28,Male,Maine,Clothing,Weekly,Yes,Credit Card,29,46,3.9,Yes,Yes,Summer,26-35,Loyal — Deal User,58.76352040816326
133,30,Male,New Mexico,Accessories,Weekly,Yes,PayPal,58,42,4.7,Yes,Yes,Fall,26-35,Loyal — Deal User,70.17704081632652
134,52,Male,Montana,Clothing,Annually,Yes,Venmo,65,25,2.5,Yes,Yes,Winter,46-55,Loyal — Deal User,28.756377551020407
135,43,Male,Texas,Accessories,Monthly,Yes,Cash,94,25,4.9,Yes,Yes,Fall,36-45,Loyal — Deal User,62.21887755102041
136,43,Male,Kansas,Footwear,Quarterly,Yes,PayPal,81,12,4.1,Yes,Yes,Fall,36-45,Discount Hunter,40.39719387755102
137,39,Male,South Carolina,Clothing,Quarterly,Yes,Debit Card,86,4,3.3,Yes,Yes,Winter,36-45,Discount Hunter,32.26173469387756
138,68,Male,Colorado,Footwear,Weekly,Yes,PayPal,43,38,4.7,Yes,Yes,Spring,55+,Loyal — Deal User,63.04056122448979
139,68,Male,Georgia,Clothing,Weekly,Yes,Bank Transfer,29,42,4.4,Yes,Yes,Winter,55+,Loyal — Deal User,59.31454081632654
140,49,Male,Florida,Outerwear,Annually,Yes,Venmo,95,30,3.8,Yes,Yes,Fall,46-55,Loyal — Deal User,48.99260204081632
141,63,Male,North Carolina,Clothing,Weekly,Yes,Credit Card,28,50,3.9,Yes,Yes,Fall,55+,Loyal — Deal User,60.900000000000006
142,56,Male,Virginia,Accessories,Weekly,Yes,PayPal,46,45,4.9,Yes,Yes,Fall,55+,Loyal — Deal User,69.46377551020409
143,37,Male,Nebraska,Outerwear,Bi-Weekly,Yes,Credit Card,58,33,3.1,Yes,Yes,Fall,36-45,Loyal — Deal User,50.06683673469388
144,30,Male,Missouri,Outerwear,Quarterly,Yes,PayPal,48,25,2.7,Yes,Yes,Fall,26-35,Loyal — Deal User,29.64387755102041
145,19,Male,New Jersey,Footwear,Monthly,Yes,Cash,43,25,3.2,Yes,Yes,Fall,18-25,Loyal — Deal User,36.08137755102041
146,24,Male,Missouri,Accessories,Quarterly,Yes,Debit Card,95,44,4.5,Yes,Yes,Fall,18-25,Loyal — Deal User,66.7640306122449
147,52,Male,Colorado,Clothing,Bi-Weekly,Yes,Venmo,30,21,4.0,Yes,Yes,Fall,46-55,Loyal — Deal User,39.369897959183675
148,63,Male,Idaho,Footwear,Bi-Weekly,Yes,Bank Transfer,64,31,3.5,Yes,Yes,Summer,55+,Loyal — Deal User,53.11734693877551
149,37,Male,Wyoming,Accessories,Annually,Yes,Debit Card,90,47,2.6,Yes,Yes,Fall,36-45,Loyal — Deal User,50.63826530612245
150,38,Male,Delaware,Clothing,Monthly,Yes,PayPal,76,14,3.2,Yes,Yes,Summer,36-45,Discount Hunter,39.659183673469386
151,35,Male,California,Footwear,Quarterly,Yes,Debit Card,96,17,4.9,Yes,Yes,Fall,26-35,Loyal — Deal User,52.94591836734695
152,28,Male,North Dakota,Accessories,Annually,Yes,Venmo,47,3,4.5,Yes,Yes,Fall,26-35,Discount Hunter,21.661989795918366
153,30,Male,South Carolina,Clothing,Annually,Yes,Venmo,85,42,4.3,Yes,Yes,Summer,26-35,Loyal — Deal User,56.21454081632652
154,69,Male,North Carolina,Clothing,Annually,Yes,Debit Card,55,22,3.2,Yes,Yes,Winter,55+,Loyal — Deal User,27.994642857142857
155,41,Male,Oklahoma,Clothing,Quarterly,Yes,Venmo,98,21,3.6,Yes,Yes,Fall,36-45,Loyal — Deal User,48.219897959183676
156,63,Male,Maine,Clothing,Quarterly,Yes,Bank Transfer,77,21,4.3,Yes,Yes,Spring,55+,Loyal — Deal User,45.85739795918367
157,35,Male,Missouri,Clothing,Annually,Yes,Debit Card,26,40,4.0,Yes,Yes,Fall,26-35,Loyal — Deal User,34.75255102040816
158,36,Male,Vermont,Accessories,Bi-Weekly,Yes,Bank Transfer,68,1,3.0,Yes,Yes,Fall,36-45,Discount Hunter,33.0
159,25,Male,Connecticut,Clothing,Monthly,Yes,Bank Transfer,73,50,4.1,Yes,Yes,Fall,18-25,Loyal — Deal User,66.1625
160,58,Male,New Hampshire,Accessories,Quarterly,Yes,Bank Transfer,27,39,3.8,Yes,Yes,Fall,55+,Loyal — Deal User,38.25280612244897
161,27,Male,Texas,Accessories,Monthly,Yes,Venmo,23,34,4.6,Yes,Yes,Summer,26-35,Loyal — Deal User,43.74158163265306
162,65,Male,North Dakota,Accessories,Bi-Weekly,Yes,Venmo,49,29,3.0,Yes,Yes,Fall,55+,Loyal — Deal User,44.205357142857146
163,54,Male,California,Accessories,Bi-Weekly,Yes,PayPal,74,31,3.0,Yes,Yes,Summer,46-55,Loyal — Deal User,53.24234693877551
164,54,Male,Virginia,Clothing,Weekly,Yes,Debit Card,67,8,3.4,Yes,Yes,Summer,46-55,Discount Hunter,44.37321428571428
165,59,Male,Delaware,Accessories,Bi-Weekly,Yes,Credit Card,65,5,2.6,Yes,Yes,Spring,55+,Discount Hunter,32.11147959183673
166,42,Male,Kentucky,Accessories,Monthly,Yes,Cash,60,7,2.8,Yes,Yes,Winter,36-45,Discount Hunter,27.973469387755102
167,46,Male,Delaware,Footwear,Monthly,Yes,Cash,31,30,4.0,Yes,Yes,Fall,46-55,Loyal — Deal User,40.192602040816325
168,33,Male,Arkansas,Accessories,Quarterly,Yes,Credit Card,27,14,4.0,Yes,Yes,Fall,26-35,Discount Hunter,24.14668367346939
169,34,Male,Louisiana,Footwear,Bi-Weekly,Yes,Cash,80,5,3.0,Yes,Yes,Summer,26-35,Discount Hunter,39.19897959183673
170,27,Male,Nevada,Outerwear,Quarterly,Yes,PayPal,30,3,3.3,Yes,Yes,Summer,26-35,Discount Hunter,14.14948979591837
171,52,Male,Wyoming,Clothing,Bi-Weekly,Yes,Venmo,25,46,2.6,Yes,Yes,Fall,46-55,Loyal — Deal User,44.71352040816326
172,29,Male,Virginia,Clothing,Weekly,Yes,Credit Card,35,4,3.6,Yes,Yes,Summer,26-35,Discount Hunter,33.124234693877554
173,54,Male,Nebraska,Accessories,Bi-Weekly,Yes,Credit Card,67,42,3.9,Yes,Yes,Summer,46-55,Loyal — Deal User,63.18954081632653
174,25,Male,Hawaii,Accessories,Annually,Yes,Cash,46,30,3.4,Yes,Yes,Fall,18-25,Loyal — Deal User,31.28010204081633
175,41,Male,Vermont,Footwear,Annually,Yes,Venmo,35,37,3.5,Yes,Yes,Winter,36-45,Loyal — Deal User,32.72831632653061
176,53,Male,Oklahoma,Outerwear,Annually,Yes,Bank Transfer,86,2,2.8,Yes,Yes,Fall,46-55,Discount Hunter,23.037244897959184
177,53,Male,New Hampshire,Accessories,Quarterly,Yes,Credit Card,81,30,2.7,Yes,Yes,Spring,46-55,Loyal — Deal User,43.01760204081633
178,21,Male,Kansas,Clothing,Monthly,Yes,Bank Transfer,42,47,3.7,Yes,Yes,Fall,18-25,Loyal — Deal User,52.23826530612245
179,61,Male,Idaho,Clothing,Quarterly,Yes,PayPal,43,21,4.3,Yes,Yes,Fall,55+,Loyal — Deal User,35.23239795918367
180,64,Male,Illinois,Footwear,Bi-Weekly,Yes,Bank Transfer,31,9,4.9,Yes,Yes,Fall,55+,Discount Hunter,37.73545918367347
181,51,Male,South Dakota,Footwear,Bi-Weekly,Yes,Debit Card,81,12,3.3,Yes,Yes,Fall,46-55,Discount Hunter,45.59719387755102
182,32,Male,Massachusetts,Clothing,Weekly,Yes,Bank Transfer,61,4,4.7,Yes,Yes,Summer,26-35,Discount Hunter,47.849234693877555
183,38,Male,Alabama,Accessories,Annually,Yes,Debit Card,96,10,2.8,Yes,Yes,Summer,36-45,Discount Hunter,31.060204081632655
184,58,Male,Ohio,Clothing,Weekly,Yes,Credit Card,29,26,3.6,Yes,Yes,Spring,55+,Loyal — Deal User,44.718622448979595
185,32,Male,Hawaii,Footwear,Bi-Weekly,Yes,Cash,33,40,3.0,Yes,Yes,Spring,26-35,Loyal — Deal User,45.94005102040816
